PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;872515266548;us-east-1;2025-07-18 13:22:16.636454;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;FAIL;Log Group /aws/eks/php-cluster/cluster does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/eks/php-cluster/cluster:*;cloudwatch_log_group_kms_encryption_enabled;False;/aws/eks/php-cluster/cluster
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;872515266548;us-east-1;2025-07-18 13:22:16.636454;your-data-2;Learn what is happening on your network, manage network and perimeter components, host and device components, data-at-rest and in-transit, and user behavior activities.;your data;;;aws;;FAIL;Log Group /aws/eks/php-cluster/cluster does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/eks/php-cluster/cluster:*;cloudwatch_log_group_kms_encryption_enabled;False;/aws/eks/php-cluster/cluster
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;872515266548;us-east-1;2025-07-18 13:22:16.636454;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;FAIL;Log Group /aws/lambda/examplefn does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/lambda/examplefn:*;cloudwatch_log_group_kms_encryption_enabled;False;/aws/lambda/examplefn
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;872515266548;us-east-1;2025-07-18 13:22:16.636454;your-data-2;Learn what is happening on your network, manage network and perimeter components, host and device components, data-at-rest and in-transit, and user behavior activities.;your data;;;aws;;FAIL;Log Group /aws/lambda/examplefn does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/lambda/examplefn:*;cloudwatch_log_group_kms_encryption_enabled;False;/aws/lambda/examplefn
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;872515266548;us-east-1;2025-07-18 13:22:16.636454;your-data-2;Learn what is happening on your network, manage network and perimeter components, host and device components, data-at-rest and in-transit, and user behavior activities.;your data;;;aws;;FAIL;Network ACL acl-074846676f7caa2ee has every port open to the Internet.;arn:aws:ec2:us-east-1:872515266548:network-acl/acl-074846676f7caa2ee;ec2_networkacl_allow_ingress_any_port;False;acl-074846676f7caa2ee
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;872515266548;us-east-1;2025-07-18 13:22:16.636454;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;PASS;AWS policy AutoScalingServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/AutoScalingServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False;AutoScalingServiceRolePolicy
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;872515266548;us-east-1;2025-07-18 13:22:16.636454;your-surroundings-3;Grant access and admin permissions based on need-to-know and least privilege.;your surroundings;;;aws;;PASS;AWS policy AutoScalingServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/AutoScalingServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False;AutoScalingServiceRolePolicy
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;872515266548;us-east-1;2025-07-18 13:22:16.636454;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;PASS;AWS policy AWSElasticLoadBalancingServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/AWSElasticLoadBalancingServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False;AWSElasticLoadBalancingServiceRolePolicy
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;872515266548;us-east-1;2025-07-18 13:22:16.636454;your-surroundings-3;Grant access and admin permissions based on need-to-know and least privilege.;your surroundings;;;aws;;PASS;AWS policy AWSElasticLoadBalancingServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/AWSElasticLoadBalancingServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False;AWSElasticLoadBalancingServiceRolePolicy
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;872515266548;us-east-1;2025-07-18 13:22:16.636454;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;PASS;AWS policy AWSTrustedAdvisorServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/AWSTrustedAdvisorServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False;AWSTrustedAdvisorServiceRolePolicy
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;872515266548;us-east-1;2025-07-18 13:22:16.636454;your-surroundings-3;Grant access and admin permissions based on need-to-know and least privilege.;your surroundings;;;aws;;PASS;AWS policy AWSTrustedAdvisorServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/AWSTrustedAdvisorServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False;AWSTrustedAdvisorServiceRolePolicy
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;872515266548;us-east-1;2025-07-18 13:22:16.636454;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;PASS;AWS policy AWSSupportServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/AWSSupportServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False;AWSSupportServiceRolePolicy
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;872515266548;us-east-1;2025-07-18 13:22:16.636454;your-surroundings-3;Grant access and admin permissions based on need-to-know and least privilege.;your surroundings;;;aws;;PASS;AWS policy AWSSupportServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/AWSSupportServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False;AWSSupportServiceRolePolicy
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;872515266548;us-east-1;2025-07-18 13:22:16.636454;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;PASS;AWS policy ReadOnlyAccess is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/ReadOnlyAccess;iam_aws_attached_policy_no_administrative_privileges;False;ReadOnlyAccess
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;872515266548;us-east-1;2025-07-18 13:22:16.636454;your-surroundings-3;Grant access and admin permissions based on need-to-know and least privilege.;your surroundings;;;aws;;PASS;AWS policy ReadOnlyAccess is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/ReadOnlyAccess;iam_aws_attached_policy_no_administrative_privileges;False;ReadOnlyAccess
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;872515266548;us-east-1;2025-07-18 13:22:16.636454;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;PASS;AWS policy ServiceQuotasServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/ServiceQuotasServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False;ServiceQuotasServiceRolePolicy
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;872515266548;us-east-1;2025-07-18 13:22:16.636454;your-surroundings-3;Grant access and admin permissions based on need-to-know and least privilege.;your surroundings;;;aws;;PASS;AWS policy ServiceQuotasServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/ServiceQuotasServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False;ServiceQuotasServiceRolePolicy
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;872515266548;us-east-1;2025-07-18 13:22:16.636454;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;PASS;Inline policy AuditPolicy attached to role ExternalAuditRole does not allow '*:*' administrative privileges.;arn:aws:iam::872515266548:role/ExternalAuditRole;iam_inline_policy_no_administrative_privileges;False;ExternalAuditRole/AuditPolicy
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;872515266548;us-east-1;2025-07-18 13:22:16.636454;your-surroundings-3;Grant access and admin permissions based on need-to-know and least privilege.;your surroundings;;;aws;;PASS;Inline policy AuditPolicy attached to role ExternalAuditRole does not allow '*:*' administrative privileges.;arn:aws:iam::872515266548:role/ExternalAuditRole;iam_inline_policy_no_administrative_privileges;False;ExternalAuditRole/AuditPolicy
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;872515266548;us-east-1;2025-07-18 13:22:16.636454;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;PASS;Custom Policy AWSLambdaBasicExecutionRole-980aee1f-cad0-4702-9e23-022fdea37612 does not allow permissive STS Role assumption.;arn:aws:iam::872515266548:policy/service-role/AWSLambdaBasicExecutionRole-980aee1f-cad0-4702-9e23-022fdea37612;iam_no_custom_policy_permissive_role_assumption;False;AWSLambdaBasicExecutionRole-980aee1f-cad0-4702-9e23-022fdea37612
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;872515266548;us-east-1;2025-07-18 13:22:16.636454;your-surroundings-3;Grant access and admin permissions based on need-to-know and least privilege.;your surroundings;;;aws;;PASS;Custom Policy AWSLambdaBasicExecutionRole-980aee1f-cad0-4702-9e23-022fdea37612 does not allow permissive STS Role assumption.;arn:aws:iam::872515266548:policy/service-role/AWSLambdaBasicExecutionRole-980aee1f-cad0-4702-9e23-022fdea37612;iam_no_custom_policy_permissive_role_assumption;False;AWSLambdaBasicExecutionRole-980aee1f-cad0-4702-9e23-022fdea37612
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;872515266548;us-east-1;2025-07-18 13:22:16.636454;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;PASS;Custom Policy AWSLambdaBasicExecutionRole-e8a6dfe2-8cb3-4016-9b64-7c9cc6085fb5 does not allow permissive STS Role assumption.;arn:aws:iam::872515266548:policy/service-role/AWSLambdaBasicExecutionRole-e8a6dfe2-8cb3-4016-9b64-7c9cc6085fb5;iam_no_custom_policy_permissive_role_assumption;False;AWSLambdaBasicExecutionRole-e8a6dfe2-8cb3-4016-9b64-7c9cc6085fb5
