PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;872515266548;us-east-1;2025-07-18 13:22:16.636454;au-9;The information system protects audit information and audit tools from unauthorized access, modification, and deletion.;Audit and Accountability (AU);;;aws;;FAIL;Log Group /aws/eks/php-cluster/cluster does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/eks/php-cluster/cluster:*;cloudwatch_log_group_kms_encryption_enabled;False;/aws/eks/php-cluster/cluster
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;872515266548;us-east-1;2025-07-18 13:22:16.636454;au-9;The information system protects audit information and audit tools from unauthorized access, modification, and deletion.;Audit and Accountability (AU);;;aws;;FAIL;Log Group /aws/lambda/examplefn does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/lambda/examplefn:*;cloudwatch_log_group_kms_encryption_enabled;False;/aws/lambda/examplefn
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;872515266548;us-east-1;2025-07-18 13:22:16.636454;au-11;The organization retains audit records for at least 90 days to provide support for after-the-fact investigations of security incidents and to meet regulatory and organizational information retention requirements.;Audit and Accountability (AU);;;aws;;PASS;Log Group /aws/eks/php-cluster/cluster comply with 365 days retention period since it never expires.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/eks/php-cluster/cluster:*;cloudwatch_log_group_retention_policy_specific_days_enabled;False;/aws/eks/php-cluster/cluster
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;872515266548;us-east-1;2025-07-18 13:22:16.636454;au-11;The organization retains audit records for at least 90 days to provide support for after-the-fact investigations of security incidents and to meet regulatory and organizational information retention requirements.;Audit and Accountability (AU);;;aws;;PASS;Log Group /aws/lambda/examplefn comply with 365 days retention period since it never expires.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/lambda/examplefn:*;cloudwatch_log_group_retention_policy_specific_days_enabled;False;/aws/lambda/examplefn
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;872515266548;us-east-1;2025-07-18 13:22:16.636454;ac-17;Authorize remote access systems prior to connection. Enforce remote connection requirements to information systems.;Access Control (AC);;;aws;;FAIL;Network ACL acl-074846676f7caa2ee has every port open to the Internet.;arn:aws:ec2:us-east-1:872515266548:network-acl/acl-074846676f7caa2ee;ec2_networkacl_allow_ingress_any_port;False;acl-074846676f7caa2ee
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;872515266548;us-east-1;2025-07-18 13:22:16.636454;cm-2;The organization develops, documents, and maintains under configuration control, a current baseline configuration of the information system.;Configuration Management (CM);;;aws;;FAIL;Network ACL acl-074846676f7caa2ee has every port open to the Internet.;arn:aws:ec2:us-east-1:872515266548:network-acl/acl-074846676f7caa2ee;ec2_networkacl_allow_ingress_any_port;False;acl-074846676f7caa2ee
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;872515266548;us-east-1;2025-07-18 13:22:16.636454;sc-7;"The information system: a. Monitors and controls communications at the external boundary of the system and at key internal boundaries within the system; b. Implements subnetworks for publicly accessible system components that are [Selection: physically; logically] separated from internal organizational networks; and c. Connects to external networks or information systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security architecture.";System and Communications Protection (SC);;;aws;;FAIL;Network ACL acl-074846676f7caa2ee has every port open to the Internet.;arn:aws:ec2:us-east-1:872515266548:network-acl/acl-074846676f7caa2ee;ec2_networkacl_allow_ingress_any_port;False;acl-074846676f7caa2ee
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;872515266548;us-east-1;2025-07-18 13:22:16.636454;ac-2;Manage system accounts, group memberships, privileges, workflow, notifications, deactivations, and authorizations.;Access Control (AC);;;aws;;PASS;AWS policy AutoScalingServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/AutoScalingServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False;AutoScalingServiceRolePolicy
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;872515266548;us-east-1;2025-07-18 13:22:16.636454;ac-3;The information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies.;Access Control (AC);;;aws;;PASS;AWS policy AutoScalingServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/AutoScalingServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False;AutoScalingServiceRolePolicy
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;872515266548;us-east-1;2025-07-18 13:22:16.636454;ac-2;Manage system accounts, group memberships, privileges, workflow, notifications, deactivations, and authorizations.;Access Control (AC);;;aws;;PASS;AWS policy AWSElasticLoadBalancingServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/AWSElasticLoadBalancingServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False;AWSElasticLoadBalancingServiceRolePolicy
