PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME
aws;The GxP EU Annex 11 framework is the European equivalent to the FDA 21 CFR part 11 framework in the United States. This annex applies to all forms of computerized systems that are used as part of Good Manufacturing Practices (GMP) regulated activities. A computerized system is a set of software and hardware components that together fulfill certain functionalities. The application should be validated and IT infrastructure should be qualified. Where a computerized system replaces a manual operation, there should be no resultant decrease in product quality, process control, or quality assurance. There should be no increase in the overall risk of the process.;872515266548;us-east-1;2025-07-18 13:22:16.636454;7.1-data-storage-damage-protection;Data should be secured by both physical and electronic means against damage. Stored data should be checked for accessibility, readability and accuracy. Access to data should be ensured throughout the retention period.;Operational Phase;;;aws;;FAIL;Log Group /aws/eks/php-cluster/cluster does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/eks/php-cluster/cluster:*;cloudwatch_log_group_kms_encryption_enabled;False;/aws/eks/php-cluster/cluster
aws;The GxP EU Annex 11 framework is the European equivalent to the FDA 21 CFR part 11 framework in the United States. This annex applies to all forms of computerized systems that are used as part of Good Manufacturing Practices (GMP) regulated activities. A computerized system is a set of software and hardware components that together fulfill certain functionalities. The application should be validated and IT infrastructure should be qualified. Where a computerized system replaces a manual operation, there should be no resultant decrease in product quality, process control, or quality assurance. There should be no increase in the overall risk of the process.;872515266548;us-east-1;2025-07-18 13:22:16.636454;7.1-data-storage-damage-protection;Data should be secured by both physical and electronic means against damage. Stored data should be checked for accessibility, readability and accuracy. Access to data should be ensured throughout the retention period.;Operational Phase;;;aws;;FAIL;Log Group /aws/lambda/examplefn does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/lambda/examplefn:*;cloudwatch_log_group_kms_encryption_enabled;False;/aws/lambda/examplefn
aws;The GxP EU Annex 11 framework is the European equivalent to the FDA 21 CFR part 11 framework in the United States. This annex applies to all forms of computerized systems that are used as part of Good Manufacturing Practices (GMP) regulated activities. A computerized system is a set of software and hardware components that together fulfill certain functionalities. The application should be validated and IT infrastructure should be qualified. Where a computerized system replaces a manual operation, there should be no resultant decrease in product quality, process control, or quality assurance. There should be no increase in the overall risk of the process.;872515266548;us-east-1;2025-07-18 13:22:16.636454;10-change-and-configuration-management;Any changes to a computerised system including system configurations should only be made in a controlled manner in accordance with a defined procedure.;Operational Phase;;;aws;;FAIL;AWS Config recorder 872515266548 is disabled.;arn:aws:config:us-east-1:872515266548:recorder;config_recorder_all_regions_enabled;False;872515266548
aws;The GxP EU Annex 11 framework is the European equivalent to the FDA 21 CFR part 11 framework in the United States. This annex applies to all forms of computerized systems that are used as part of Good Manufacturing Practices (GMP) regulated activities. A computerized system is a set of software and hardware components that together fulfill certain functionalities. The application should be validated and IT infrastructure should be qualified. Where a computerized system replaces a manual operation, there should be no resultant decrease in product quality, process control, or quality assurance. There should be no increase in the overall risk of the process.;872515266548;us-east-1;2025-07-18 13:22:16.636454;4.5-validation-development-quality;The regulated user should take all reasonable steps, to ensure that the system has been developed in accordance with an appropriate quality management system. The supplier should be assessed appropriately.;Project Phase;;;aws;;FAIL;AWS Config recorder 872515266548 is disabled.;arn:aws:config:us-east-1:872515266548:recorder;config_recorder_all_regions_enabled;False;872515266548
aws;The GxP EU Annex 11 framework is the European equivalent to the FDA 21 CFR part 11 framework in the United States. This annex applies to all forms of computerized systems that are used as part of Good Manufacturing Practices (GMP) regulated activities. A computerized system is a set of software and hardware components that together fulfill certain functionalities. The application should be validated and IT infrastructure should be qualified. Where a computerized system replaces a manual operation, there should be no resultant decrease in product quality, process control, or quality assurance. There should be no increase in the overall risk of the process.;872515266548;us-east-1;2025-07-18 13:22:16.636454;4.6-validation-quality-performance;For the validation of bespoke or customised computerised systems there should be a process in place that ensures the formal assessment and reporting of quality and performance measures for all the life-cycle stages of the system.;Project Phase;;;aws;;FAIL;AWS Config recorder 872515266548 is disabled.;arn:aws:config:us-east-1:872515266548:recorder;config_recorder_all_regions_enabled;False;872515266548
aws;The GxP EU Annex 11 framework is the European equivalent to the FDA 21 CFR part 11 framework in the United States. This annex applies to all forms of computerized systems that are used as part of Good Manufacturing Practices (GMP) regulated activities. A computerized system is a set of software and hardware components that together fulfill certain functionalities. The application should be validated and IT infrastructure should be qualified. Where a computerized system replaces a manual operation, there should be no resultant decrease in product quality, process control, or quality assurance. There should be no increase in the overall risk of the process.;872515266548;us-east-1;2025-07-18 13:22:16.636454;7.1-data-storage-damage-protection;Data should be secured by both physical and electronic means against damage. Stored data should be checked for accessibility, readability and accuracy. Access to data should be ensured throughout the retention period.;Operational Phase;;;aws;;FAIL;S3 Bucket cf-templates-1o2rvhmiti6y7-us-east-1 does not have Server Side Encryption enabled.;arn:aws:s3:::cf-templates-1o2rvhmiti6y7-us-east-1;s3_bucket_default_encryption;False;cf-templates-1o2rvhmiti6y7-us-east-1
aws;The GxP EU Annex 11 framework is the European equivalent to the FDA 21 CFR part 11 framework in the United States. This annex applies to all forms of computerized systems that are used as part of Good Manufacturing Practices (GMP) regulated activities. A computerized system is a set of software and hardware components that together fulfill certain functionalities. The application should be validated and IT infrastructure should be qualified. Where a computerized system replaces a manual operation, there should be no resultant decrease in product quality, process control, or quality assurance. There should be no increase in the overall risk of the process.;872515266548;us-east-1;2025-07-18 13:22:16.636454;5-data;Computerised systems exchanging data electronically with other systems should include appropriate built-in checks for the correct and secure entry and processing of data, in order to minimize the risks.;Operational Phase;;;aws;;FAIL;S3 Bucket cf-templates-1o2rvhmiti6y7-us-east-1 has versioning disabled.;arn:aws:s3:::cf-templates-1o2rvhmiti6y7-us-east-1;s3_bucket_object_versioning;False;cf-templates-1o2rvhmiti6y7-us-east-1
aws;The GxP EU Annex 11 framework is the European equivalent to the FDA 21 CFR part 11 framework in the United States. This annex applies to all forms of computerized systems that are used as part of Good Manufacturing Practices (GMP) regulated activities. A computerized system is a set of software and hardware components that together fulfill certain functionalities. The application should be validated and IT infrastructure should be qualified. Where a computerized system replaces a manual operation, there should be no resultant decrease in product quality, process control, or quality assurance. There should be no increase in the overall risk of the process.;872515266548;us-east-1;2025-07-18 13:22:16.636454;7.1-data-storage-damage-protection;Data should be secured by both physical and electronic means against damage. Stored data should be checked for accessibility, readability and accuracy. Access to data should be ensured throughout the retention period.;Operational Phase;;;aws;;FAIL;S3 Bucket cf-templates-1o2rvhmiti6y7-us-east-1 has versioning disabled.;arn:aws:s3:::cf-templates-1o2rvhmiti6y7-us-east-1;s3_bucket_object_versioning;False;cf-templates-1o2rvhmiti6y7-us-east-1
aws;The GxP EU Annex 11 framework is the European equivalent to the FDA 21 CFR part 11 framework in the United States. This annex applies to all forms of computerized systems that are used as part of Good Manufacturing Practices (GMP) regulated activities. A computerized system is a set of software and hardware components that together fulfill certain functionalities. The application should be validated and IT infrastructure should be qualified. Where a computerized system replaces a manual operation, there should be no resultant decrease in product quality, process control, or quality assurance. There should be no increase in the overall risk of the process.;872515266548;us-east-1;2025-07-18 13:22:16.636454;7.2-data-storage-backups;Regular back-ups of all relevant data should be done. Integrity and accuracy of backup data and the ability to restore the data should be checked during validation and monitored periodically.;Operational Phase;;;aws;;FAIL;S3 Bucket cf-templates-1o2rvhmiti6y7-us-east-1 has versioning disabled.;arn:aws:s3:::cf-templates-1o2rvhmiti6y7-us-east-1;s3_bucket_object_versioning;False;cf-templates-1o2rvhmiti6y7-us-east-1
aws;The GxP EU Annex 11 framework is the European equivalent to the FDA 21 CFR part 11 framework in the United States. This annex applies to all forms of computerized systems that are used as part of Good Manufacturing Practices (GMP) regulated activities. A computerized system is a set of software and hardware components that together fulfill certain functionalities. The application should be validated and IT infrastructure should be qualified. Where a computerized system replaces a manual operation, there should be no resultant decrease in product quality, process control, or quality assurance. There should be no increase in the overall risk of the process.;872515266548;us-east-1;2025-07-18 13:22:16.636454;16-business-continuity;For the availability of computerised systems supporting critical processes, provisions should be made to ensure continuity of support for those processes in the event of a system breakdown (e.g. a manual or alternative system). The time required to bring the alternative arrangements into use should be based on risk and appropriate for a particular system and the business process it supports. These arrangements should be adequately documented and tested.;Operational Phase;;;aws;;FAIL;S3 Bucket cf-templates-1o2rvhmiti6y7-us-east-1 has versioning disabled.;arn:aws:s3:::cf-templates-1o2rvhmiti6y7-us-east-1;s3_bucket_object_versioning;False;cf-templates-1o2rvhmiti6y7-us-east-1
