PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_NAME;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_DOMAIN;REQUIREMENTS_ATTRIBUTES_SUBDOMAIN;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_AUDITCHECKLIST;REQUIREMENTS_ATTRIBUTES_RELATEDREGULATIONS;REQUIREMENTS_ATTRIBUTES_AUDITEVIDENCE;REQUIREMENTS_ATTRIBUTES_NONCOMPLIANCECASES;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED
aws;The ISMS-P certification, established by KISA (Korea Internet & Security Agency), is a system where an independent certification body evaluates whether a company or organization's information security and privacy protection measures comply with certification standards, and grants certification. This helps organizations improve public trust in their services and respond effectively to increasingly complex cyber threats. The ISMS-P framework also provides comprehensive guidelines for systematically establishing, implementing, and managing information security and privacy protection.;872515266548;us-east-1;2025-07-18 13:22:16.636454;2.1.3;Management of Information Assets;The procedures and protection measures for handling information assets according to their purpose and importance must be established and implemented, and the responsibilities for each asset must be clearly defined and managed.;2. Control Measures Requirements;2.1 Policy, Organization, Asset Management;2.1.3 Management of Information Assets;['Are handling procedures (creation, introduction, storage, use, disposal) and protection measures defined and implemented according to the security classification of information assets?', 'Have responsible persons and managers been designated for identified information assets?'];[];['List of information assets (designation of responsible persons and managers)', 'Handling procedures for information assets (documents, information systems, etc.)', 'Information asset management system screen', 'Security classification indicators for information assets'];['Case 1: Although internal guidelines require security classification to be indicated on documents, this has not been followed.', 'Case 2: Responsible persons and managers for information assets have not been identified, or the asset list has not been updated, leading to changes in responsible personnel due to resignations, transfers, etc., not being reflected.', 'Case 3: Although security classifications were assigned to identified information assets after evaluating their importance, handling procedures based on the security classification were not defined.'];MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::872515266548:root;872515266548;account_maintain_current_contact_details;False
aws;The ISMS-P certification, established by KISA (Korea Internet & Security Agency), is a system where an independent certification body evaluates whether a company or organization's information security and privacy protection measures comply with certification standards, and grants certification. This helps organizations improve public trust in their services and respond effectively to increasingly complex cyber threats. The ISMS-P framework also provides comprehensive guidelines for systematically establishing, implementing, and managing information security and privacy protection.;872515266548;us-east-1;2025-07-18 13:22:16.636454;2.1.3;Management of Information Assets;The procedures and protection measures for handling information assets according to their purpose and importance must be established and implemented, and the responsibilities for each asset must be clearly defined and managed.;2. Control Measures Requirements;2.1 Policy, Organization, Asset Management;2.1.3 Management of Information Assets;['Are handling procedures (creation, introduction, storage, use, disposal) and protection measures defined and implemented according to the security classification of information assets?', 'Have responsible persons and managers been designated for identified information assets?'];[];['List of information assets (designation of responsible persons and managers)', 'Handling procedures for information assets (documents, information systems, etc.)', 'Information asset management system screen', 'Security classification indicators for information assets'];['Case 1: Although internal guidelines require security classification to be indicated on documents, this has not been followed.', 'Case 2: Responsible persons and managers for information assets have not been identified, or the asset list has not been updated, leading to changes in responsible personnel due to resignations, transfers, etc., not being reflected.', 'Case 3: Although security classifications were assigned to identified information assets after evaluating their importance, handling procedures based on the security classification were not defined.'];MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::872515266548:root;872515266548;account_security_contact_information_is_registered;False
aws;The ISMS-P certification, established by KISA (Korea Internet & Security Agency), is a system where an independent certification body evaluates whether a company or organization's information security and privacy protection measures comply with certification standards, and grants certification. This helps organizations improve public trust in their services and respond effectively to increasingly complex cyber threats. The ISMS-P framework also provides comprehensive guidelines for systematically establishing, implementing, and managing information security and privacy protection.;872515266548;us-east-1;2025-07-18 13:22:16.636454;2.2.1;Designation and Management of Key Personnel;Criteria and management plans for key duties, such as handling personal information and important information or accessing key systems, must be established, and the number of key personnel must be minimized and their list kept up-to-date.;2. Control Measures Requirements;2.2 Human Security;2.2.1 Designation and Management of Key Personnel;['Are the criteria for key duties, such as handling personal information and important information or accessing key systems, clearly defined?', 'Are employees and external personnel performing key duties designated as key personnel, and is the list kept up-to-date?', 'Are personnel handling personal information designated as personal information handlers, and is the list kept up-to-date?', 'Is the designation of key personnel and personal information handlers minimized based on business needs, and are management plans established and implemented?'];['Personal Information Protection Act, Article 28 (Supervision of Personal Information Handlers), Article 29 (Obligation to Take Safety Measures)', 'Standards for Ensuring the Safety of Personal Information, Article 4 (Establishment, Implementation, and Inspection of Internal Management Plans)'];['Criteria for key duties', 'List of key personnel', 'List of personal information handlers', 'Account and authority management ledger for key information systems and personal information processing systems', 'Management status of key personnel (e.g., training results, security pledges)'];['Case 1: Although a list of key personnel (e.g., personal information handlers, secret information managers) has been created, some employees who handle large volumes of personal information (e.g., DBAs, DLP managers) were omitted.', 'Case 2: Although the list of key personnel and personal information handlers is being managed, it has not been updated, including resigned employees and newly hired personnel.', 'Case 3: Personal information handler privileges were granted collectively to entire departments, leading to personnel without the need to handle personal information being excessively designated as personal information handlers.', 'Case 4: Although internal guidelines require approval from the security team and the signing of security pledges when granting key personnel privileges, many key personnel were registered without following this process.'];MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::872515266548:root;872515266548;account_security_contact_information_is_registered;False
aws;The ISMS-P certification, established by KISA (Korea Internet & Security Agency), is a system where an independent certification body evaluates whether a company or organization's information security and privacy protection measures comply with certification standards, and grants certification. This helps organizations improve public trust in their services and respond effectively to increasingly complex cyber threats. The ISMS-P framework also provides comprehensive guidelines for systematically establishing, implementing, and managing information security and privacy protection.;872515266548;us-east-1;2025-07-18 13:22:16.636454;2.1.3;Management of Information Assets;The procedures and protection measures for handling information assets according to their purpose and importance must be established and implemented, and the responsibilities for each asset must be clearly defined and managed.;2. Control Measures Requirements;2.1 Policy, Organization, Asset Management;2.1.3 Management of Information Assets;['Are handling procedures (creation, introduction, storage, use, disposal) and protection measures defined and implemented according to the security classification of information assets?', 'Have responsible persons and managers been designated for identified information assets?'];[];['List of information assets (designation of responsible persons and managers)', 'Handling procedures for information assets (documents, information systems, etc.)', 'Information asset management system screen', 'Security classification indicators for information assets'];['Case 1: Although internal guidelines require security classification to be indicated on documents, this has not been followed.', 'Case 2: Responsible persons and managers for information assets have not been identified, or the asset list has not been updated, leading to changes in responsible personnel due to resignations, transfers, etc., not being reflected.', 'Case 3: Although security classifications were assigned to identified information assets after evaluating their importance, handling procedures based on the security classification were not defined.'];MANUAL;Login to the AWS Console as root. Choose your account name on the top right of the window -> My Account -> Configure Security Challenge Questions.;arn:aws:iam::872515266548:root;872515266548;account_security_questions_are_registered_in_the_aws_account;False
aws;The ISMS-P certification, established by KISA (Korea Internet & Security Agency), is a system where an independent certification body evaluates whether a company or organization's information security and privacy protection measures comply with certification standards, and grants certification. This helps organizations improve public trust in their services and respond effectively to increasingly complex cyber threats. The ISMS-P framework also provides comprehensive guidelines for systematically establishing, implementing, and managing information security and privacy protection.;872515266548;us-east-1;2025-07-18 13:22:16.636454;2.5.6;Review of Access Rights;The registration, use, and deletion of user accounts accessing information systems, personal information, and important information, as well as the history of granting, changing, and deleting access rights, should be recorded and periodically reviewed to ensure their appropriateness.;2. Control Measures Requirements;2.5 Authentication and Access Management;2.5.6 Review of Access Rights;['Are the histories of account and access right creation, registration, granting, use, modification, and deletion for information systems, personal information, and important information being recorded?', 'Are standards, review subjects, review methods, and periodic review schedules established to regularly review the appropriateness of user accounts and access rights to information systems, personal information, and important information?', 'When issues such as excessive access rights, failure to follow access right granting procedures, or misuse of access rights are identified in the review results, are appropriate response procedures established and implemented?'];['Personal Information Protection Act, Article 29 (Obligation to Take Safety Measures)', 'Standards for Ensuring the Safety of Personal Information, Article 5 (Management of Access Rights)'];['Access rights review standards and procedures', 'History of access rights reviews', 'Access rights review reports and follow-up action records'];['Case 1: The methods, review periods, reporting structure, and misuse criteria related to access rights reviews are not clearly defined in the relevant guidelines, leading to irregular performance of access rights reviews.', 'Case 2: Although internal policies and guidelines require locking (deactivating) or deleting long-unused accounts, some accounts that have not been accessed for more than six months remain active (indicating that the access rights review was not thoroughly conducted, failing to identify these accounts).', 'Case 3: During the access rights review, cases of excessive privileges or suspected misuse were identified, but no detailed investigation, internal reporting, or follow-up actions were taken.'];PASS;CloudWatch doesn't allow cross-account sharing.;arn:aws:iam:us-east-1:872515266548:role;872515266548;cloudwatch_cross_account_sharing_disabled;False
aws;The ISMS-P certification, established by KISA (Korea Internet & Security Agency), is a system where an independent certification body evaluates whether a company or organization's information security and privacy protection measures comply with certification standards, and grants certification. This helps organizations improve public trust in their services and respond effectively to increasingly complex cyber threats. The ISMS-P framework also provides comprehensive guidelines for systematically establishing, implementing, and managing information security and privacy protection.;872515266548;us-east-1;2025-07-18 13:22:16.636454;2.9.4;Log and Access Record Management;The organization must define the types of logs, retention periods, and retention methods for user access records, system logs, and privilege grant records for information systems such as servers, applications, security systems, and network systems, and must securely retain and manage them to prevent tampering, theft, or loss.;2. Control Measures Requirements;2.9 System and Service Operation Management;2.9.4 Log and Access Record Management;['Has the organization established log management procedures for information systems such as servers, applications, security systems, and network systems, and is it generating and storing the necessary logs accordingly?', 'Are log records of information systems securely stored to prevent tampering, theft, or loss, and is access to the log records minimized?', 'Are access records for personal information processing systems securely stored for a specified period in accordance with legal requirements, including all necessary items?'];['Personal Information Protection Act, Article 29 (Obligation to Take Safety Measures)', 'Standards for Ensuring the Safety of Personal Information, Article 8 (Retention and Inspection of Access Records)'];['Log management procedures', 'Log record details', 'Access control records for log storage devices', 'Access records of personal information'];['Case 1: The detailed criteria and procedures for log recording, retention periods, review frequency, and responsible personnel have not been established.', 'Case 2: The maximum size for critical logs such as security event logs, application, and service logs (for Windows Server 2008 or later) is not sufficiently configured, resulting in logs not being recorded and retained for the period specified by internal standards.', 'Case 3: The log records of important Linux/UNIX servers are not separately backed up or adequately protected, allowing users to arbitrarily delete command execution histories and access logs.', 'Case 4: Upon reviewing access records for the personal information processing system, while the account, access time, and IP address of the user were logged, details about the data subject information handled and the tasks performed (e.g., view, modify, delete, download) were not recorded.', 'Case 5: The capacity of the log server is insufficient, leaving only two months of access records for the personal information processing system.', 'Case 6: A personal information processing system handling personal information of 100,000 data subjects is only retaining access logs for one year.'];PASS;CloudWatch doesn't allow cross-account sharing.;arn:aws:iam:us-east-1:872515266548:role;872515266548;cloudwatch_cross_account_sharing_disabled;False
aws;The ISMS-P certification, established by KISA (Korea Internet & Security Agency), is a system where an independent certification body evaluates whether a company or organization's information security and privacy protection measures comply with certification standards, and grants certification. This helps organizations improve public trust in their services and respond effectively to increasingly complex cyber threats. The ISMS-P framework also provides comprehensive guidelines for systematically establishing, implementing, and managing information security and privacy protection.;872515266548;us-east-1;2025-07-18 13:22:16.636454;2.9.5;Log and Access Record Inspection;To ensure normal use of the information system and prevent misuse (unauthorized access, excessive queries, etc.) by users, log review criteria for access and usage must be established and inspected periodically, and post-event actions must be taken promptly if issues arise.;2. Control Measures Requirements;2.9 System and Service Operation Management;2.9.5 Log and Access Record Inspection;['Are there established log review and monitoring procedures, including the frequency, targets, and methods for detecting errors, misuse (unauthorized access, excessive queries, etc.), fraud, and other anomalies in the information system?', 'Are the results of log reviews and monitoring reported to the responsible person, and are responses taken following procedures when anomalies are detected?', 'Are access records of the personal information processing system regularly inspected according to the periods specified in relevant laws?'];['Personal Information Protection Act, Article 29 (Obligation to Take Safety Measures)', 'Standards for Ensuring the Safety of Personal Information, Article 8 (Retention and Inspection of Access Records)'];['Log review and monitoring procedures', 'Log review and monitoring results (review details, reports, etc.)', 'Access record inspection details for personal information', 'Criteria and results for verifying reasons for personal information downloads', 'Evidence of responses to detected anomalies'];['Case 1: Monitoring and alert policies (criteria) for abnormal access (e.g., early morning access on holidays, access via bypass routes) or abnormal behaviors (e.g., large-scale data queries or continuous small data queries) on information systems processing important information have not been established.', 'Case 2: Although periodic inspection/monitoring criteria for access and usage are established in internal guidelines or systems, there is no record of actual review of abnormal access or behavior.', 'Case 3: The personal information processor sets the inspection frequency of access records for personal information processing systems to once per quarter.', 'Case 4: The internal management plan for the personal information processor sets criteria for verifying reasons when more than 1,000 items of personal information are downloaded, but the reasons are not verified when such downloads occur.'];PASS;CloudWatch doesn't allow cross-account sharing.;arn:aws:iam:us-east-1:872515266548:role;872515266548;cloudwatch_cross_account_sharing_disabled;False
aws;The ISMS-P certification, established by KISA (Korea Internet & Security Agency), is a system where an independent certification body evaluates whether a company or organization's information security and privacy protection measures comply with certification standards, and grants certification. This helps organizations improve public trust in their services and respond effectively to increasingly complex cyber threats. The ISMS-P framework also provides comprehensive guidelines for systematically establishing, implementing, and managing information security and privacy protection.;872515266548;us-east-1;2025-07-18 13:22:16.636454;2.11.3;Abnormal Behavior Analysis and Monitoring;To quickly detect and respond to intrusion attempts, personal information leakage attempts, and fraudulent activities from internal or external sources, the organization must collect and analyze network and data flows. Post-monitoring and inspection actions must be timely.;2. Control Measures Requirements;2.11 Incident Prevention and Response;2.11.3 Abnormal Behavior Analysis and Monitoring;['Is the organization collecting, analyzing, and monitoring network traffic, data flows, and event logs from major information systems, applications, networks, and security systems to detect abnormal behaviors such as intrusion attempts, personal information leakage attempts, or fraudulent activities?', 'Has the organization defined criteria and thresholds to determine abnormal behaviors, and is follow-up action, such as the determination and investigation of abnormal activities, taken in a timely manner?'];['Personal Information Protection Act, Article 29 (Obligation to Take Safety Measures)', 'Standards for Ensuring the Safety of Personal Information, Article 6 (Access Control)'];['Status of abnormal behavior analysis and monitoring', 'Evidence of responses taken when abnormal behaviors were detected'];['Case 1: Failure to establish a real-time or regular monitoring system and procedures to detect intrusion attempts on servers, networks, databases, and security systems from external sources.', 'Case 2: Although the organization has outsourced monitoring tasks to an external security monitoring agency, there is no record of reviewing the reports provided by the agency, and the organization does not have its own monitoring system for systems excluded from the outsourced service.', 'Case 3: Although abnormal traffic exceeding internally defined thresholds has been continuously detected, no response measures have been taken.'];PASS;CloudWatch doesn't allow cross-account sharing.;arn:aws:iam:us-east-1:872515266548:role;872515266548;cloudwatch_cross_account_sharing_disabled;False
aws;The ISMS-P certification, established by KISA (Korea Internet & Security Agency), is a system where an independent certification body evaluates whether a company or organization's information security and privacy protection measures comply with certification standards, and grants certification. This helps organizations improve public trust in their services and respond effectively to increasingly complex cyber threats. The ISMS-P framework also provides comprehensive guidelines for systematically establishing, implementing, and managing information security and privacy protection.;872515266548;us-east-1;2025-07-18 13:22:16.636454;2.7.1;Application of Encryption Policy;To protect personal and important information, encryption policies that reflect legal requirements, such as encryption targets, encryption strength, and encryption usage policies, must be established. Encryption must be applied during the storage, transmission, and transfer of personal and important information.;2. Control Measures Requirements;2.7 Application of Encryption;2.7.1 Application of Encryption Policy;['Has an encryption policy been established that includes encryption targets, encryption strength, and encryption usage in consideration of legal requirements for the protection of personal and important information?', 'Is encryption applied to personal and important information during storage, transmission, and transfer according to the encryption policy?'];['Personal Information Protection Act, Article 24-2 (Restrictions on Processing of Resident Registration Numbers), Article 29 (Obligation to Take Safety Measures)', 'Standards for Ensuring the Safety of Personal Information, Article 7 (Encryption of Personal Information)'];['Encryption control policy (targets, methods, algorithms, etc.)', 'Encryption application status (during storage and transmission)', 'Risk analysis results (if encryption is not applied to unique identifiers other than resident registration numbers in the internal network)', 'Encryption solution management screen'];"['Case 1: Internal policies and guidelines do not properly specify encryption targets, encryption strength, encryption methods during storage and transmission, or the roles and responsibilities of those responsible for encryption, considering legal requirements.', 'Case 2: The company applied incorrect regulations during the creation of its encryption policy, leading to non-compliance with legal encryption requirements (e.g., storing user account numbers without encryption).', 'Case 3: Although one-way encryption was applied to the passwords of both personal information handlers and data subjects, an insecure MD5 algorithm was used.', ""Case 4: Although a security server was applied to an internet shopping mall in accordance with relevant laws and internal regulations, encryption was missing in some sections where users' personal information is transmitted (e.g., viewing or modifying member information, password retrieval, password changes)."", 'Case 5: Passwords for accessing information systems, authentication keys, and other values were stored in plaintext in system configuration files and source code.']";FAIL;Log Group /aws/eks/php-cluster/cluster does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/eks/php-cluster/cluster:*;/aws/eks/php-cluster/cluster;cloudwatch_log_group_kms_encryption_enabled;False
aws;The ISMS-P certification, established by KISA (Korea Internet & Security Agency), is a system where an independent certification body evaluates whether a company or organization's information security and privacy protection measures comply with certification standards, and grants certification. This helps organizations improve public trust in their services and respond effectively to increasingly complex cyber threats. The ISMS-P framework also provides comprehensive guidelines for systematically establishing, implementing, and managing information security and privacy protection.;872515266548;us-east-1;2025-07-18 13:22:16.636454;2.9.4;Log and Access Record Management;The organization must define the types of logs, retention periods, and retention methods for user access records, system logs, and privilege grant records for information systems such as servers, applications, security systems, and network systems, and must securely retain and manage them to prevent tampering, theft, or loss.;2. Control Measures Requirements;2.9 System and Service Operation Management;2.9.4 Log and Access Record Management;['Has the organization established log management procedures for information systems such as servers, applications, security systems, and network systems, and is it generating and storing the necessary logs accordingly?', 'Are log records of information systems securely stored to prevent tampering, theft, or loss, and is access to the log records minimized?', 'Are access records for personal information processing systems securely stored for a specified period in accordance with legal requirements, including all necessary items?'];['Personal Information Protection Act, Article 29 (Obligation to Take Safety Measures)', 'Standards for Ensuring the Safety of Personal Information, Article 8 (Retention and Inspection of Access Records)'];['Log management procedures', 'Log record details', 'Access control records for log storage devices', 'Access records of personal information'];['Case 1: The detailed criteria and procedures for log recording, retention periods, review frequency, and responsible personnel have not been established.', 'Case 2: The maximum size for critical logs such as security event logs, application, and service logs (for Windows Server 2008 or later) is not sufficiently configured, resulting in logs not being recorded and retained for the period specified by internal standards.', 'Case 3: The log records of important Linux/UNIX servers are not separately backed up or adequately protected, allowing users to arbitrarily delete command execution histories and access logs.', 'Case 4: Upon reviewing access records for the personal information processing system, while the account, access time, and IP address of the user were logged, details about the data subject information handled and the tasks performed (e.g., view, modify, delete, download) were not recorded.', 'Case 5: The capacity of the log server is insufficient, leaving only two months of access records for the personal information processing system.', 'Case 6: A personal information processing system handling personal information of 100,000 data subjects is only retaining access logs for one year.'];FAIL;Log Group /aws/eks/php-cluster/cluster does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/eks/php-cluster/cluster:*;/aws/eks/php-cluster/cluster;cloudwatch_log_group_kms_encryption_enabled;False
