PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;872515266548;us-east-1;2025-07-18 13:22:16.636454;au_9_3;Implement cryptographic mechanisms to protect the integrity of audit information and audit tools.;Audit and Accountability (AU);Protection of Audit Information (AU-9);;aws;;FAIL;Log Group /aws/eks/php-cluster/cluster does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/eks/php-cluster/cluster:*;cloudwatch_log_group_kms_encryption_enabled;False;/aws/eks/php-cluster/cluster
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;872515266548;us-east-1;2025-07-18 13:22:16.636454;cp_9_d;Protect the confidentiality, integrity, and availability of backup information.;Contingency Planning (CP);System Backup (CP-9);;aws;;FAIL;Log Group /aws/eks/php-cluster/cluster does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/eks/php-cluster/cluster:*;cloudwatch_log_group_kms_encryption_enabled;False;/aws/eks/php-cluster/cluster
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;872515266548;us-east-1;2025-07-18 13:22:16.636454;sc_8_3;Implement cryptographic mechanisms to protect message externals unless otherwise protected by [Assignment: organization-defined alternative physical controls].;System and Communications Protection (SC);Transmission Confidentiality And Integrity (SC-8);;aws;;FAIL;Log Group /aws/eks/php-cluster/cluster does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/eks/php-cluster/cluster:*;cloudwatch_log_group_kms_encryption_enabled;False;/aws/eks/php-cluster/cluster
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;872515266548;us-east-1;2025-07-18 13:22:16.636454;sc_8_4;Implement cryptographic mechanisms to conceal or randomize communication patterns unless otherwise protected by [Assignment: organization-defined alternative physical controls].;System and Communications Protection (SC);Transmission Confidentiality And Integrity (SC-8);;aws;;FAIL;Log Group /aws/eks/php-cluster/cluster does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/eks/php-cluster/cluster:*;cloudwatch_log_group_kms_encryption_enabled;False;/aws/eks/php-cluster/cluster
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;872515266548;us-east-1;2025-07-18 13:22:16.636454;sc_13_a;Determine the [Assignment: organization-defined cryptographic uses].;System and Communications Protection (SC);Cryptographic Protection (SC-13);;aws;;FAIL;Log Group /aws/eks/php-cluster/cluster does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/eks/php-cluster/cluster:*;cloudwatch_log_group_kms_encryption_enabled;False;/aws/eks/php-cluster/cluster
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;872515266548;us-east-1;2025-07-18 13:22:16.636454;sc_28_1;Implement cryptographic mechanisms to prevent unauthorized disclosure and modification of the following information at rest on [Assignment: organization-defined system components or media]: [Assignment: organization-defined information].;System and Communications Protection (SC);Protection Of Information At Rest (SC-28);;aws;;FAIL;Log Group /aws/eks/php-cluster/cluster does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/eks/php-cluster/cluster:*;cloudwatch_log_group_kms_encryption_enabled;False;/aws/eks/php-cluster/cluster
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;872515266548;us-east-1;2025-07-18 13:22:16.636454;si_19_4;Remove, mask, encrypt, hash, or replace direct identifiers in a dataset.;System and Information integrity (SI);De-Identification (SI-19);;aws;;FAIL;Log Group /aws/eks/php-cluster/cluster does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/eks/php-cluster/cluster:*;cloudwatch_log_group_kms_encryption_enabled;False;/aws/eks/php-cluster/cluster
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;872515266548;us-east-1;2025-07-18 13:22:16.636454;au_9_3;Implement cryptographic mechanisms to protect the integrity of audit information and audit tools.;Audit and Accountability (AU);Protection of Audit Information (AU-9);;aws;;FAIL;Log Group /aws/lambda/examplefn does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/lambda/examplefn:*;cloudwatch_log_group_kms_encryption_enabled;False;/aws/lambda/examplefn
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;872515266548;us-east-1;2025-07-18 13:22:16.636454;cp_9_d;Protect the confidentiality, integrity, and availability of backup information.;Contingency Planning (CP);System Backup (CP-9);;aws;;FAIL;Log Group /aws/lambda/examplefn does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/lambda/examplefn:*;cloudwatch_log_group_kms_encryption_enabled;False;/aws/lambda/examplefn
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;872515266548;us-east-1;2025-07-18 13:22:16.636454;sc_8_3;Implement cryptographic mechanisms to protect message externals unless otherwise protected by [Assignment: organization-defined alternative physical controls].;System and Communications Protection (SC);Transmission Confidentiality And Integrity (SC-8);;aws;;FAIL;Log Group /aws/lambda/examplefn does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/lambda/examplefn:*;cloudwatch_log_group_kms_encryption_enabled;False;/aws/lambda/examplefn
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;872515266548;us-east-1;2025-07-18 13:22:16.636454;sc_8_4;Implement cryptographic mechanisms to conceal or randomize communication patterns unless otherwise protected by [Assignment: organization-defined alternative physical controls].;System and Communications Protection (SC);Transmission Confidentiality And Integrity (SC-8);;aws;;FAIL;Log Group /aws/lambda/examplefn does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/lambda/examplefn:*;cloudwatch_log_group_kms_encryption_enabled;False;/aws/lambda/examplefn
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;872515266548;us-east-1;2025-07-18 13:22:16.636454;sc_13_a;Determine the [Assignment: organization-defined cryptographic uses].;System and Communications Protection (SC);Cryptographic Protection (SC-13);;aws;;FAIL;Log Group /aws/lambda/examplefn does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/lambda/examplefn:*;cloudwatch_log_group_kms_encryption_enabled;False;/aws/lambda/examplefn
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;872515266548;us-east-1;2025-07-18 13:22:16.636454;sc_28_1;Implement cryptographic mechanisms to prevent unauthorized disclosure and modification of the following information at rest on [Assignment: organization-defined system components or media]: [Assignment: organization-defined information].;System and Communications Protection (SC);Protection Of Information At Rest (SC-28);;aws;;FAIL;Log Group /aws/lambda/examplefn does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/lambda/examplefn:*;cloudwatch_log_group_kms_encryption_enabled;False;/aws/lambda/examplefn
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;872515266548;us-east-1;2025-07-18 13:22:16.636454;si_19_4;Remove, mask, encrypt, hash, or replace direct identifiers in a dataset.;System and Information integrity (SI);De-Identification (SI-19);;aws;;FAIL;Log Group /aws/lambda/examplefn does not have AWS KMS keys associated.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/lambda/examplefn:*;cloudwatch_log_group_kms_encryption_enabled;False;/aws/lambda/examplefn
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;872515266548;us-east-1;2025-07-18 13:22:16.636454;ac_16_b;Ensure that the attribute associations are made and retained with the information.;Access Control (AC);Security And Privacy Attributes (AC-16);;cloudwatch;;PASS;Log Group /aws/eks/php-cluster/cluster comply with 365 days retention period since it never expires.;arn:aws:logs:us-east-1:872515266548:log-group:/aws/eks/php-cluster/cluster:*;cloudwatch_log_group_retention_policy_specific_days_enabled;False;/aws/eks/php-cluster/cluster
