PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;872515266548;ap-south-1;2025-07-18 07:56:57.634369;au-9;The information system protects audit information and audit tools from unauthorized access, modification, and deletion.;Audit and Accountability (AU);;;aws;;FAIL;Log Group RDSOSMetrics does not have AWS KMS keys associated.;arn:aws:logs:ap-south-1:872515266548:log-group:RDSOSMetrics:*;cloudwatch_log_group_kms_encryption_enabled;False;RDSOSMetrics
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;872515266548;ap-south-1;2025-07-18 07:56:57.634369;sc-28;The information system protects the confidentiality AND integrity of [Assignment: organization-defined information at rest].;System and Communications Protection (SC);;;aws;;FAIL;Log Group RDSOSMetrics does not have AWS KMS keys associated.;arn:aws:logs:ap-south-1:872515266548:log-group:RDSOSMetrics:*;cloudwatch_log_group_kms_encryption_enabled;False;RDSOSMetrics
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;872515266548;ap-south-1;2025-07-18 07:56:57.634369;au-6-1-3;(1) The organization employs automated mechanisms to integrate audit review, analysis, and reporting processes to support organizational processes for investigation and response to suspicious activities. (3) The organization analyzes and correlates audit records across different repositories to gain organization-wide situational awareness.;Audit and Accountability (AU);Audit Review, Analysis And Reporting (AU-6);;aws;;FAIL;Log Group RDSOSMetrics has less than 365 days retention period (30 days).;arn:aws:logs:ap-south-1:872515266548:log-group:RDSOSMetrics:*;cloudwatch_log_group_retention_policy_specific_days_enabled;False;RDSOSMetrics
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;872515266548;ap-south-1;2025-07-18 07:56:57.634369;au-11;The organization retains audit records for at least 90 days to provide support for after-the-fact investigations of security incidents and to meet regulatory and organizational information retention requirements.;Audit and Accountability (AU);;;aws;;FAIL;Log Group RDSOSMetrics has less than 365 days retention period (30 days).;arn:aws:logs:ap-south-1:872515266548:log-group:RDSOSMetrics:*;cloudwatch_log_group_retention_policy_specific_days_enabled;False;RDSOSMetrics
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;872515266548;ap-south-1;2025-07-18 07:56:57.634369;si-12;The organization handles and retains information within the information system and information output from the system in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and operational requirements.;System and Information Integrity (SI);;;aws;;FAIL;Log Group RDSOSMetrics has less than 365 days retention period (30 days).;arn:aws:logs:ap-south-1:872515266548:log-group:RDSOSMetrics:*;cloudwatch_log_group_retention_policy_specific_days_enabled;False;RDSOSMetrics
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;872515266548;ap-south-1;2025-07-18 07:56:57.634369;ac-2-1;The organization employs automated mechanisms to support the management of information system accounts.;Access Control (AC);Account Management (AC-2);;aws;;PASS;AWS policy AutoScalingServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/AutoScalingServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False;AutoScalingServiceRolePolicy
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;872515266548;ap-south-1;2025-07-18 07:56:57.634369;ac-2-f;The organization: f. Creates, enables, modifies, disables, and removes information system accounts in accordance with [Assignment: organization-defined procedures or conditions].;Access Control (AC);Account Management (AC-2);;aws;;PASS;AWS policy AutoScalingServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/AutoScalingServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False;AutoScalingServiceRolePolicy
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;872515266548;ap-south-1;2025-07-18 07:56:57.634369;ac-2-j;The organization: j. Reviews accounts for compliance with account management requirements [Assignment: organization-defined frequency].;Access Control (AC);Account Management (AC-2);;aws;;PASS;AWS policy AutoScalingServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/AutoScalingServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False;AutoScalingServiceRolePolicy
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;872515266548;ap-south-1;2025-07-18 07:56:57.634369;ac-3;The information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies.;Access Control (AC);;;aws;;PASS;AWS policy AutoScalingServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/AutoScalingServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False;AutoScalingServiceRolePolicy
aws;The Federal Risk and Authorization Management Program (FedRAMP) was established in 2011. It provides a cost-effective, risk-based approach for the adoption and use of cloud services by the U.S. federal government. FedRAMP empowers federal agencies to use modern cloud technologies, with an emphasis on the security and protection of federal information.;872515266548;ap-south-1;2025-07-18 07:56:57.634369;ac-5-c;The organization: c. Defines information system access authorizations to support separation of duties.;Access Control (AC);Separation Of Duties (AC-5);;aws;;PASS;AWS policy AutoScalingServiceRolePolicy is attached but does not allow '*:*' administrative privileges.;arn:aws:iam::aws:policy/aws-service-role/AutoScalingServiceRolePolicy;iam_aws_attached_policy_no_administrative_privileges;False;AutoScalingServiceRolePolicy
